src	dst	amount
U79466f73dc0c	Bad1c69de7837	2
U622a649ddf56	U000000000000	1
Cc42c3eeb9d20	U8a78048d60f7	1
Uf2b0a6b1d423	Ce1a7d8996eb0	-1
U1bcba4fd7175	B70df5dbab8c3	2
U8a78048d60f7	Ba3c4a280657d	3
Ub10b78df4f63	U000000000000	1
Uaa4e2be7a87a	C35678a54ef5f	1
C6d52e861b366	U21769235b28d	1
U3de789cac826	U000000000000	1
U9605bd4d1218	C801f204d0da8	3
U8a78048d60f7	B10d3f548efc4	3
U02be55e5fdb2	U000000000000	1
U9a89e0679dec	U7a8d8324441d	1
U8a78048d60f7	C6acd550a4ef3	1
U80e22da6d8c4	B60d725feca77	1
U1c285703fc63	B63fbe1427d09	1
Cd06fea6a395f	Uaa4e2be7a87a	1
U8aa2e2623fa5	C7c4d9ca4623e	1
U1bcba4fd7175	C6d52e861b366	-1
C30e7409c2d5f	U80e22da6d8c4	1
U7a8d8324441d	C78ad459d3b81	6
Udf0362755172	U000000000000	1
U77f496546efa	U000000000000	1
U798f0a5b78f0	U000000000000	1
C801f204d0da8	U21769235b28d	1
Bb1e3630d2f4a	U34252014c05b	1
U6661263fb410	B75a44a52fa29	3
U495c3bb411e1	U000000000000	1
C5782d559baad	U0cd6bd2dde4f	1
Uadeb43da4abb	Bd49e3dac97b0	1
U41784ed376c3	B92e4a185c654	1
Ub93799d9400e	Cd4417a5d718e	1
U26aca0e369c7	Cb117f464e558	6
U704bd6ecde75	Cdd49e516723a	1
C399b6349ab02	Uf2b0a6b1d423	1
U4dac6797a9cc	U000000000000	1
Ua29a81d30ef9	U000000000000	1
Ud5b22ebf52f2	U000000000000	1
B79efabc4d8bf	U499f24158a40	1
U8fc7861a79b9	U000000000000	1
U5502925dfe14	U000000000000	1
U1c285703fc63	U9a2c85753a6d	1
B19ea554faf29	U34252014c05b	1
C5060d0101429	U362d375c067c	1
B75a44a52fa29	U01814d1ec9ff	1
C35678a54ef5f	Uaa4e2be7a87a	1
U34252014c05b	Bb1e3630d2f4a	1
U80e22da6d8c4	Cb14487d862b3	6
Uc3c31b8a022f	Bb78026d99388	1
U09cf1f359454	Be5bb2f3d56cb	-1
Cc01e00342d63	U6661263fb410	1
Uef7fbf45ef11	B25c85fe0df2d	1
C10872dc9b863	U499f24158a40	1
U8a78048d60f7	Be29b4af3f7a5	-1
U499f24158a40	C4818c4ed20bf	1
U09cf1f359454	B8a531802473b	-1
C3fd1fdebe0e9	U7a8d8324441d	1
U7a8d8324441d	Be2b46c17f1da	5
U6a774cf456f7	U000000000000	1
U8a78048d60f7	U1c285703fc63	1
Uf2b0a6b1d423	C6a2263dc469e	1
U80e22da6d8c4	B45d72e29f004	3
U8a78048d60f7	B3b3f2ecde430	-1
Uef7fbf45ef11	B0e230e9108dd	-1
U1bcba4fd7175	Bc4addf09b79f	3
U8a78048d60f7	Uad577360d968	1
U0cd6bd2dde4f	B7f628ad203b5	1
U1afee48387d4	U000000000000	1
U7c9ce0ac22b7	U000000000000	1
U09cf1f359454	B4f14b223b56d	-1
U9a2c85753a6d	C070e739180d6	9
U1c285703fc63	Bad1c69de7837	7
B3c467fb437b2	U9e42f6dab85a	1
U25982b736535	U000000000000	1
U9a2c85753a6d	C30fef1977b4a	8
U8a78048d60f7	B19ea554faf29	3
U6240251593cd	B9c01ce5718d1	-4
U99a0f1f7e6ee	C1f41b842849c	1
U8a78048d60f7	B92e4a185c654	3
Uac897fe92894	Cb117f464e558	1
U9a89e0679dec	U000000000000	1
U09cf1f359454	B3c467fb437b2	-1
U704bd6ecde75	U000000000000	1
U5b09928b977a	U000000000000	1
U585dfead09c6	C6d52e861b366	-1
U09cf1f359454	U0cd6bd2dde4f	1
U02fbd7c8df4c	U000000000000	1
Ucb84c094edba	C524134905072	1
Uc1158424318a	C78d6fac93d00	1
U34252014c05b	U000000000000	1
U7a8d8324441d	Cbbf2df46955b	1
Ud9df8116deba	U000000000000	1
U01814d1ec9ff	Bd7a8bfcf3337	3
Cfdde53c79a2d	Uef7fbf45ef11	1
U4f530cfe771e	B9c01ce5718d1	0
U09cf1f359454	B3b3f2ecde430	-1
C63e21d051dda	U638f5c19326f	1
Uf2b0a6b1d423	C30e7409c2d5f	9
U8a78048d60f7	Cd6c9d5cba220	1
Cf4b448ef8618	U499f24158a40	1
Ue7a29d5409f2	C9028c7415403	3
U4d6816b2416e	U000000000000	1
U6942e4590e93	U000000000000	1
U09cf1f359454	Bd49e3dac97b0	-1
U389f9f24b31c	Cbbf2df46955b	4
C279db553a831	U99a0f1f7e6ee	1
U09cf1f359454	B5a1c1d3d0140	-1
U8a78048d60f7	U6d2f25cc4264	1
U1df3e39ebe59	Bea16f01b8cc5	1
C599f6e6f6b64	U26aca0e369c7	1
U01814d1ec9ff	B491d307dfe01	-1
Udb60bbb285ca	U000000000000	1
U79466f73dc0c	B7f628ad203b5	6
U99a0f1f7e6ee	Cfd59a206c07d	1
U6d2f25cc4264	B3c467fb437b2	-1
Uf59dcd0bc354	U000000000000	1
Ucb84c094edba	U000000000000	1
Ud7002ae5a86c	B75a44a52fa29	-2
U7462db3b65c4	U000000000000	1
Uc3c31b8a022f	U000000000000	1
U80e22da6d8c4	C6acd550a4ef3	-1
Uf2b0a6b1d423	B5eb4c6be535a	5
B9c01ce5718d1	U499f24158a40	1
U79466f73dc0c	U000000000000	1
U99a0f1f7e6ee	Bd90a1cf73384	1
Ue7a29d5409f2	Uc3c31b8a022f	-1
Uf9ecad50b7e1	U000000000000	1
Ub7f9dfb6a7a5	U000000000000	1
Uf31403bd4e20	U000000000000	1
U1bcba4fd7175	C0a576fc389d9	1
Uef7fbf45ef11	C94bb73c10a06	3
U0e214fef4f03	U000000000000	1
Uac897fe92894	B9c01ce5718d1	-2
U8a78048d60f7	Ud5b22ebf52f2	1
U3c63a9b6115a	Be5bb2f3d56cb	1
Bc4addf09b79f	U0cd6bd2dde4f	1
U638f5c19326f	B9cade9992fb9	1
Ub7f9dfb6a7a5	B506fff6cfc22	1
U3c63a9b6115a	Bad1c69de7837	2
Udece0afd9a8b	C9028c7415403	1
U79466f73dc0c	B45d72e29f004	5
U99a0f1f7e6ee	U000000000000	1
U09cf1f359454	B3f6f837bc345	1
U016217c34c6e	U000000000000	1
U389f9f24b31c	C6acd550a4ef3	6
U9e42f6dab85a	Cbbf2df46955b	3
U99a0f1f7e6ee	C4d1d582c53c3	1
Be2b46c17f1da	U80e22da6d8c4	1
U8a78048d60f7	B4f14b223b56d	-1
U6661263fb410	C31dac67e313b	1
U7a8d8324441d	U1c285703fc63	-1
C4893c40e481d	Udece0afd9a8b	1
U9e42f6dab85a	B3c467fb437b2	1
Ue328d7da3b59	U000000000000	1
C4b2b6fd8fa9a	U499f24158a40	1
U9e42f6dab85a	C0b19d314485e	-1
